Community	Target(unknown)	Annotated	Functions
C0	Zm00001eb435400		
C0	Zm00001eb384200	Zm00001eb296460.Zm00001eb420710	regulation of localization.regulation of transport
C0	Zm00001eb371760	Known	GTP metabolic process.response to abscisic acid.GTPase activity.clathrin binding.Golgi apparatus.mitochondrial fission.GTP binding.Golgi to vacuole transport.plasma membrane.synaptic vesicle endocytosis.cytoskeleton.developmental process.phospholipid binding.vacuole.chemical synaptic transmission.purine ribonucleotide catabolic process.purine ribonucleoside triphosphate catabolic process.transmission of nerve impulse.plasmodesma.guanosine-containing compound catabolic process.clathrin-coated endocytic vesicle.cytosol
C0	Zm00001eb105790	Zm00001eb394530.Zm00001eb397520	defense response to bacterium.plastid envelope.chloroplast envelope.organelle envelope.response to bacterium.response to hormone.response to endogenous stimulus.defense response.biological process involved in interspecies interaction between organisms.response to other organism
C0	Zm00001eb394230	Known	very long-chain fatty acid biosynthetic process.Unknown.establishment of cell polarity.cytokinesis by cell plate formation.anatomical structure formation involved in morphogenesis.lateral root development.vernalization response.auxin-activated signaling pathway.unidimensional cell growth.peptidyl-prolyl cis-trans isomerase activity.cytokinin-activated signaling pathway.cell differentiation.Unknown.nucleus.protein peptidyl-prolyl isomerization.organelle membrane.microtubule cytoskeleton organization.cytosol.embryonic pattern specification.endoplasmic reticulum membrane.FK506 binding.membrane
C0	Zm00001eb387760	Zm00001eb258170.Zm00001eb332510.Zm00001eb206250.Zm00001eb205500.Zm00001eb376670.Zm00001eb293540	catalytic activity.cellular process.biological_process.positive regulation of protein-containing complex assembly.positive regulation of cellular component organization.regulation of DNA-templated transcription initiation.positive regulation of DNA-templated transcription initiation.regulation of transcription initiation by RNA polymerase II.positive regulation of cellular component biogenesis.positive regulation of RNA polymerase II transcription preinitiation complex assembly
C0	Zm00001eb194140	Zm00001eb403060.Zm00001eb341680.Zm00001eb278360.Zm00001eb060340.Zm00001eb187010.Zm00001eb095480.Zm00001eb004030	nucleus.biological regulation.primary metabolic process.metabolic process.cellular process.cellular anatomical structure.cellular_component.molecular_function.biological_process.membrane-bounded organelle
C0	Zm00001eb325090	Zm00001eb107660.Zm00001eb325570	
C0	Zm00001eb372410	Known	oxidoreductase activity.calcium-dependent phospholipid binding.Unknown.Unknown.RNA biosynthetic process.chromosome organization.iron ion binding.protein methylation.gene expression.Unknown.Unknown.Cul3-RING ubiquitin ligase complex.fatty acid biosynthetic process.membrane
C0	Zm00001eb442710		
C0	Zm00001eb058790	Known	regulation of macromolecule biosynthetic process.anatomical structure formation involved in morphogenesis.positive regulation of catalytic activity.animal organ morphogenesis.leaf morphogenesis.carotenoid biosynthetic process.mRNA modification.DNA-templated transcription.regulation of gene expression.thylakoid membrane organization.calcium channel activity.cell differentiation.Unknown.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.chloroplast thylakoid membrane.maltose metabolic process.starch biosynthetic process.cytochrome complex assembly.phosphatidylglycerol biosynthetic process.regulation of nucleobase-containing compound metabolic process.membrane
C0	Zm00001eb435310		
C0	Zm00001eb316390	Known	sodium ion transmembrane transport.fatty acid beta-oxidation.proton transmembrane transport.lipid transport.Golgi cisterna membrane.intra-Golgi vesicle-mediated transport.endosome membrane.protein import into peroxisome matrix.regulation of pH.lithium ion transport.membrane.sodium:proton antiporter activity
C0	Zm00001eb001650	Known	rRNA processing.extrinsic component of membrane.stomatal complex morphogenesis.positive regulation of catalytic activity.chloroplast thylakoid lumen.photosystem II oxygen evolving complex.photosystem II assembly.plastid organization.cysteine biosynthetic process.response to stress.pentose-phosphate shunt.mRNA modification.chloroplast photosystem II.calcium ion binding
C0	Zm00001eb351230	Zm00001eb269050.Zm00001eb206250.Zm00001eb088940.Zm00001eb205500.Zm00001eb286220	nitrogen compound transport.cellular process.biological_process.cellular_component.binding.ion binding.small molecule binding.molecular_function.positive regulation of biological process.protein-containing complex
C0	Zm00001eb152500	Known	post-translational protein modification.cytosol.stomatal movement.anatomical structure formation involved in morphogenesis.metabolic process.protein serine/threonine kinase activity.response to abscisic acid.ATP binding.calcium-mediated signaling.tube development.plant-type cell wall modification.pollen tube growth.protein phosphorylation.membrane
C0	Zm00001eb313400	Known	response to chemical.primary metabolic process.anatomical structure development.macromolecule metabolic process.regulation of cellular process.spermidine biosynthetic process.small molecule metabolic process.spermine biosynthetic process.adenosylmethionine decarboxylase activity.membrane
C0	Zm00001eb002910	Zm00001eb039390.Zm00001eb196360	
C0	Zm00001eb396720	Zm00001eb409600	
C0	Zm00001eb158150	Zm00001eb406950.Zm00001eb410890.Zm00001eb401490	ER-nucleus signaling pathway.endoplasmic reticulum unfolded protein response.response to endoplasmic reticulum stress.defense response to fungus.response to chitin.response to fungus.developmental process.response to nitrogen compound
C0	Zm00001eb107190	Known	abscisic acid-activated signaling pathway.hyperosmotic salinity response.response to auxin.Unknown.response to ethylene.calcium,diacylglycerol-dependent serine/threonine kinase activity.ER-nucleus signaling pathway.plasma membrane.cytoplasm.protein autophosphorylation.response to carbohydrate.response to water deprivation.response to chitin.response to cold.positive regulation of secondary metabolite biosynthetic process.calcium ion binding.nucleus.regulation of plant-type hypersensitive response.protein targeting to membrane.defense response to fungus.positive regulation of flavonoid biosynthetic process.negative regulation of defense response.jasmonic acid mediated signaling pathway.plasmodesma.MAPK cascade.regulation of phenylpropanoid metabolic process.post-translational protein modification.ATP binding.endoplasmic reticulum unfolded protein response.negative regulation of programmed cell death.response to wounding.systemic acquired resistance, salicylic acid mediated signaling pathway
C0	Zm00001eb338710	Zm00001eb043650.Zm00001eb074280.Zm00001eb241630	plasma membrane
C0	Zm00001eb038930	Known	rRNA processing.glucosinolate biosynthetic process.Unknown.positive regulation of catalytic activity.Unknown.malate metabolic process.plastid organization.glycoside biosynthetic process.L-malate dehydrogenase (NADP+) activity.L-malate dehydrogenase (NAD+) activity.mitochondrion.chloroplast stroma.oxaloacetate metabolic process.maltose metabolic process.acetyl-CoA catabolic process.response to redox state.ketone metabolic process.chloroplast envelope.starch biosynthetic process.tricarboxylic acid cycle.photosystem II assembly.thylakoid.apoplast
C0	Zm00001eb358660	Known	response to misfolded protein.regulation of defense response to fungus.positive regulation of catalytic activity.protein-containing complex.auxin-activated signaling pathway.negative regulation of seed germination.response to heat.response to carbohydrate.response to chitin.SCF ubiquitin ligase complex.Unknown.nucleotide binding.host-mediated perturbation of symbiont process.regulation of hydrogen peroxide metabolic process.nucleus.regulation of plant-type hypersensitive response.proteasome core complex assembly.protein targeting to membrane.defense response to fungus.negative regulation of defense response.jasmonic acid mediated signaling pathway.regulation of protein stability.MAPK cascade.detection of biotic stimulus.cytosol.photorespiration.defense response to bacterium.symbiont-mediated perturbation of host process.salicylic acid biosynthetic process.negative regulation of programmed cell death.ubiquitin-dependent protein catabolic process.systemic acquired resistance, salicylic acid mediated signaling pathway.membrane
C0	Zm00001eb272840	Known	phosphotransferase activity, alcohol group as acceptor.calmodulin binding.plastid.phosphorylation.nervous system development.lipid kinase activity.auxin-activated signaling pathway.membrane.intracellular signal transduction
C0	Zm00001eb218430	Zm00001eb218440.Zm00001eb109110.Zm00001eb237230.Zm00001eb056340.Zm00001eb237220.Zm00001eb207550.Zm00001eb000850.Zm00001eb079420	catalytic activity.cellular process.biological_process.molecular_function.localization.primary metabolic process.metabolic process.transferase activity.cellular anatomical structure.cellular_component
C0	Zm00001eb347490	Known	xylem development.cellular component assembly.O-acetyltransferase activity.anatomical structure formation involved in morphogenesis.localization.plasma membrane.pectin biosynthetic process.xylan biosynthetic process.nucleobase-containing compound metabolic process.cellulose biosynthetic process.response to freezing.Golgi apparatus.plant-type cell wall modification.glucuronoxylan metabolic process.meristem initiation.membrane.animal organ development
C0	Zm00001eb014120	Known	polysaccharide binding.primary metabolic process.Unknown.response to stimulus.cell growth.Unknown.cellulose microfibril organization.system development.hydrolase activity, hydrolyzing O-glycosyl compounds.membrane
C0	Zm00001eb441010		
C0	Zm00001eb187200	Zm00001eb220220.Zm00001eb031790.Zm00001eb208940.Zm00001eb172070.Zm00001eb096060	phospholipid metabolic process.sulfur compound metabolic process.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.carbohydrate derivative metabolic process.vitamin metabolic process
C0	Zm00001eb155410	Known	protein dimerization activity.regulation of DNA-templated transcription.nucleus.cytoplasm.response to abscisic acid.response to wounding.DNA-binding transcription factor activity.DNA-templated transcription.DNA binding
C0	Zm00001eb158180	Zm00001eb107660.Zm00001eb160200	
C0	Zm00001eb003000	Known	post-translational protein modification.protein dephosphorylation.plasma membrane.protein serine/threonine phosphatase activity.metabolic process.metal ion binding.regulation of cellular process.response to stress.membrane
C0	Zm00001eb209920	Known	hormone-mediated signaling pathway.plasma membrane.transmembrane transporter activity.transmembrane transport.membrane
C0	Zm00001eb025910	Known	response to oxidative stress.response to chemical.vacuole.plasma membrane.pollen sperm cell differentiation.membrane
C0	Zm00001eb333140	Known	response to chemical.phosphatidylinositol biosynthetic process.zinc ion binding.plasma membrane.basic amino acid transmembrane transport.response to stress.basic amino acid transmembrane transporter activity.endoplasmic reticulum to Golgi vesicle-mediated transport.intracellular protein transport.membrane
C0	Zm00001eb148380	Known	phosphatidylinositol-3,5-bisphosphate binding.cytosol.endosome.phosphatidylinositol-3-phosphate binding.organelle organization.endosomal transport.clathrin binding.cytosolic transport.endocytosis.endocytic vesicle.clathrin vesicle coat
C0	Zm00001eb389960	Known	response to auxin.reproductive process.regulation of DNA-templated transcription.response to salt stress.nucleus.chromatin binding.response to gibberellin.response to salicylic acid.Unknown.response to cadmium ion.response to ethylene.response to abscisic acid.circadian regulation of gene expression.photoperiodism, flowering.chromosome organization.response to jasmonic acid.DNA-templated transcription.DNA binding
C0	Zm00001eb325920	Known	mitochondrion.biological regulation.chloroplast stroma.embryo development ending in seed dormancy.ATP binding.threonine-tRNA ligase activity.threonyl-tRNA aminoacylation.ketone metabolic process
C0	Zm00001eb049810	Known	flavin adenine dinucleotide binding.regulation of DNA-templated transcription.nucleus.plasma membrane.chloroplast membrane.response to stimulus.oxidoreductase activity, acting on CH-OH group of donors.Unknown.transport.DNA-templated transcription.membrane.monoatomic ion homeostasis
C0	Zm00001eb064960	Zm00001eb397520	
C0	Zm00001eb063310	Zm00001eb369540.Zm00001eb232010	
C0	Zm00001eb010390	Zm00001eb235880.Zm00001eb210720.Zm00001eb389570.Zm00001eb268750.Zm00001eb062100.Zm00001eb296460	response to topologically incorrect protein.proteasome assembly.response to misfolded protein.response to stress.anchoring junction.plasmodesma.cell-cell junction.cell junction.toxin metabolic process.toxin catabolic process
C0	Zm00001eb150410	Zm00001eb433750.Zm00001eb410890.Zm00001eb229430.Zm00001eb247500	nucleoside diphosphate metabolic process.purine ribonucleoside diphosphate metabolic process.ribonucleoside diphosphate metabolic process.purine nucleoside diphosphate metabolic process.purine ribonucleotide metabolic process.ribonucleotide metabolic process.ribose phosphate metabolic process.purine nucleotide metabolic process.purine-containing compound metabolic process.nucleotide metabolic process
C0	Zm00001eb291530	Known	nucleotidyltransferase activity.endosome.carbohydrate transport.organic anion transmembrane transporter activity.purine nucleobase transport.plasma membrane.Unknown.response to stimulus.pollen exine formation.trans-Golgi network.nucleic acid binding.membrane
C0	Zm00001eb052550	Known	ligase activity.primary metabolic process.embryo development.nucleus.regulation of cellular process.response to karrikin.binding.system development.Unknown
C0	Zm00001eb116150	Zm00001eb401490.Zm00001eb182560.Zm00001eb148380.Zm00001eb406950.Zm00001eb123060.Zm00001eb153000.Zm00001eb197300	cellular process.biological_process.molecular_function.anatomical structure formation involved in morphogenesis.biological regulation.developmental process.metabolic process.cellular anatomical structure.cellular_component.hydrocarbon metabolic process
C0	Zm00001eb088000	Zm00001eb087980.Zm00001eb174420.Zm00001eb305640	
C0	Zm00001eb023150	Zm00001eb247500.Zm00001eb088940.Zm00001eb111660	carbohydrate metabolic process.Golgi membrane.protein metabolic process.vesicle.monosaccharide metabolic process.protein-containing complex assembly.protein-containing complex organization.post-translational protein modification.macromolecule metabolic process.cellular component assembly
C0	Zm00001eb255390	Zm00001eb433750.Zm00001eb325570.Zm00001eb066190.Zm00001eb006610	sulfur compound biosynthetic process.alkali metal ion binding.potassium ion binding.pyruvate kinase activity.sulfur compound metabolic process.monocarboxylic acid metabolic process.biosynthetic process.magnesium ion binding.response to stimulus.membrane
C0	Zm00001eb435820	Zm00001eb380730	
C0	Zm00001eb268000	Zm00001eb257630.Zm00001eb394190.Zm00001eb140160	protein targeting to chloroplast.establishment of protein localization to chloroplast.protein localization to chloroplast.establishment of protein localization to organelle.protein localization to organelle.protein targeting
C0	Zm00001eb286310	Known	primary metabolic process.endosome.nucleus.Unknown.ribonucleoprotein complex.cellular process.RNA binding.hydrolase activity
C0	Zm00001eb251020	Known	N-terminal protein myristoylation.response to cadmium ion.Unknown.positive regulation of catalytic activity.Golgi apparatus.small GTPase-mediated signal transduction.GTP binding.carbohydrate metabolic process.phospholipase activator activity.plasma membrane.translation.plastid.plasmodesma.vesicle-mediated transport.multicellular organismal process.cytosol.cellular component organization.intracellular protein transport.vacuolar membrane
C0	Zm00001eb290340	Zm00001eb401490.Zm00001eb410890.Zm00001eb237390	ER-nucleus signaling pathway.endoplasmic reticulum unfolded protein response.response to endoplasmic reticulum stress.defense response to fungus.response to chitin.response to fungus.response to nitrogen compound
C0	Zm00001eb360560	Known	cytosol.regulation of biological process.plasma membrane.translation.lipid metabolic process.monoacylglycerol lipase activity.chloroplast.response to stress.plasmodesma
C0	Zm00001eb095840	Known	response to abscisic acid.amino acid binding.DNA-templated transcription.regulation of DNA-templated transcription
C0	Zm00001eb437970		
C0	Zm00001eb229430	Known	response to cAMP.L-lactate dehydrogenase (NAD+) activity.Unknown.flagellated sperm motility.Unknown.response to glucose.NAD+ metabolic process.motile cilium.response to nutrient.membrane.response to estrogen.Unknown.response to insecticide.response to xenobiotic stimulus.glucose catabolic process.mitochondrion.ATP biosynthetic process.vesicle.glycolytic process.lactate biosynthetic process from pyruvate.ketone metabolic process.Unknown.cytosol.response to hypoxia.positive regulation of apoptotic process.response to steroid hormone.response to hydrogen peroxide.Unknown
C0	Zm00001eb435440		
C0	Zm00001eb332610	Known	membrane.inorganic diphosphate transport.carbohydrate:proton symporter activity.phosphate transmembrane transporter activity.chloroplast inner membrane.response to carbohydrate.sodium ion transport.response to chitin.nitrate transmembrane transport.Unknown.cellular response to water deprivation.response to nematode.glucose catabolic process.regulation of hydrogen peroxide metabolic process.regulation of plant-type hypersensitive response.chloroplast thylakoid membrane.protein targeting to membrane.defense response to fungus.negative regulation of defense response.jasmonic acid mediated signaling pathway.inorganic diphosphate transmembrane transporter activity.MAPK cascade.organic anion transmembrane transporter activity.multicellular organismal process.detection of biotic stimulus.Unknown.NADPH regeneration.response to light stimulus.phosphate ion transmembrane transport.defense response to bacterium.Unknown.pentose-phosphate shunt.regulation of response to biotic stimulus.salicylic acid biosynthetic process.systemic acquired resistance, salicylic acid mediated signaling pathway.L-ascorbic acid transmembrane transporter activity
C0	Zm00001eb288290	Known	chloroplast envelope.mitochondrion.cellular process.2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity.response to UV-B.developmental process.auxin polar transport.L-glutamate N-acetyltransferase activity, acting on acetyl-L-ornithine as donor.multicellular organismal process.membrane
C0	Zm00001eb376670	Known	Unknown.response to cadmium ion.nucleus.biological regulation.cytoplasm.metabolic process.biosynthetic process.proteasome core complex, beta-subunit complex.ubiquitin-dependent protein catabolic process.threonine-type endopeptidase activity
C0	Zm00001eb255470	Zm00001eb205040.Zm00001eb389570.Zm00001eb391600	
C0	Zm00001eb210720	Known	response to misfolded protein.response to cadmium ion.nuclear proteasome complex.fatty acid beta-oxidation.response to salt stress.protein deneddylation.membrane.glucose catabolic process.DNA binding.toxin catabolic process.proteasome core complex assembly.glycolytic process.proteasome regulatory particle, lid subcomplex.plasmodesma.mitotic G2 phase.cytosol.photorespiration.proteasome-mediated ubiquitin-dependent protein catabolic process.mitotic cell cycle.regulation of unidimensional cell growth.gluconeogenesis.DNA endoreduplication.photomorphogenesis
C0	Zm00001eb283080	Known	protein dimerization activity.phosphorelay sensor kinase activity.nucleus.oxidoreductase activity, acting on NAD(P)H.response to fructose.response to sucrose.signal transduction.plastid.phosphorelay signal transduction system.electron transport chain
C0	Zm00001eb388080	Known	extracellular region.plant-type cell wall modification involved in multidimensional cell growth.plant-type cell wall.response to red light.syncytium formation.membrane.plant-type cell wall loosening.response to karrikin.regulation of stomatal movement.unidimensional cell growth
C0	Zm00001eb436790		
C0	Zm00001eb439910		
C0	Zm00001eb377530	Zm00001eb403050.Zm00001eb268750.Zm00001eb258170.Zm00001eb376670.Zm00001eb210720.Zm00001eb235880.Zm00001eb205500	response to topologically incorrect protein.proteasome assembly.response to misfolded protein.protein-containing complex.nuclear proteasome complex.proteasome complex.endopeptidase complex.peptidase complex.intracellular protein-containing complex.modification-dependent macromolecule catabolic process
C0	Zm00001eb272510	Known	cytosol.K48-linked deubiquitinase activity.regulation of biological process.protein K48-linked deubiquitination.cysteine-type deubiquitinase activity.nucleus.plasma membrane.response to stimulus.multicellular organismal process.gene expression
C0	Zm00001eb325570	Known	primary metabolic process.nucleotide transport.nucleotide transmembrane transporter activity.carbohydrate transport.Unknown.purine nucleobase transport.plasma membrane.antiporter activity.Unknown.phosphate ion transmembrane transport.response to nematode.purine nucleotide-sugar transmembrane transport.nucleotide-sugar transmembrane transporter activity.Golgi membrane.mucilage biosynthetic process involved in seed coat development.membrane
C0	Zm00001eb027950	Known	rRNA processing.positive regulation of catalytic activity.carotenoid biosynthetic process.chlorophyll catabolic process.PSII associated light-harvesting complex II catabolic process.defense response to other organism.membrane.glucose catabolic process.mitochondrion.regulation of plant-type hypersensitive response.chloroplast stroma.maltose metabolic process.cytosol.starch biosynthetic process.chloroplast envelope.NADPH regeneration.chlorophyll biosynthetic process.pentose-phosphate shunt.red chlorophyll catabolite reductase activity
C0	Zm00001eb432100	Known	meristem maintenance.specification of floral organ identity.seed development.specification of animal organ identity.regulation of DNA-templated transcription.nucleus.metabolic process.cell differentiation.Unknown.DNA-binding transcription factor activity.2-alkenal reductase [NAD(P)H] activity.ethylene-activated signaling pathway.DNA-templated transcription.DNA binding.plant ovule development
C0	Zm00001eb169050	Zm00001eb034750.Zm00001eb378690.Zm00001eb403060.Zm00001eb246410.Zm00001eb054500	regulation of biological process.biological regulation.histone modifying activity.protein metabolic process.regulation of response to stimulus.metabolic process.chromatin organization.cellular process.biological_process.cellular_component
C0	Zm00001eb366470	Known	cytosol.methylation.Unknown.response to cadmium ion.nucleus.plasma membrane.pyridoxal phosphate binding.S-adenosylmethionine metabolic process.L-serine metabolic process.sulfate ion homeostasis.plasmodesma.tetrahydrofolate interconversion.glycine biosynthetic process.ketone metabolic process.methyltransferase activity.glycine hydroxymethyltransferase activity.membrane
C0	Zm00001eb083840	Known	endoplasmic reticulum.zinc ion binding.biological regulation.chloroplast stroma.one-carbon metabolic process.carbonate dehydratase activity.system development.membrane
C0	Zm00001eb197780	Zm00001eb397150.Zm00001eb391600.Zm00001eb291530.Zm00001eb111660	nucleobase transport.purine nucleobase transport.trans-Golgi network.Golgi apparatus subcompartment.organelle subcompartment.carbohydrate transport.endosome.membrane.catalytic activity.transport
C0	Zm00001eb434910	Zm00001eb435650	
C0	Zm00001eb077890	Zm00001eb287770.Zm00001eb039350.Zm00001eb208940.Zm00001eb079420	
C0	Zm00001eb194590	Known	primary metabolic process.endoplasmic reticulum membrane.methylation.phosphatidylethanolamine N-methyltransferase activity.Unknown.biosynthetic process.small molecule metabolic process.organelle membrane.lipid droplet
C0	Zm00001eb237220	Known	Wnt signaling pathway.mitochondrion.response to cold.nucleus.lactoylglutathione lyase activity.chloroplast stroma.regulation of cell shape.methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione.metal ion binding.protein serine/threonine kinase activity.peptidyl-serine phosphorylation.carbohydrate metabolic process.endocytosis.stromule.thylakoid lumen
C0	Zm00001eb107660	Known	primary metabolic process.mitochondrion.metal ion binding.ATP binding.tetrahydrofolate interconversion.5-formyltetrahydrofolate cyclo-ligase activity.folic acid-containing compound biosynthetic process.ketone metabolic process.membrane
C0	Zm00001eb244760	Known	regulation of shoot apical meristem development.endoplasmic reticulum.nematode larval development.nucleotide transmembrane transporter activity.Unknown.pollen exine formation.Unknown.chloroplast.carbohydrate:proton symporter activity.Unknown.nucleotide transport.UDP-N-acetylglucosamine transmembrane transport.embryo development ending in birth or egg hatching.sialic acid transmembrane transporter activity.determination of adult lifespan.proton transmembrane transport.Golgi membrane.UDP-N-acetylgalactosamine transmembrane transport.locomotion.body morphogenesis.carbohydrate transmembrane transport.growth.UDP-N-acetylgalactosamine transmembrane transporter activity.monocarboxylic acid transport.sialic acid transport.Unknown.phosphate ion transmembrane transport.carbohydrate metabolic process.membrane
C0	Zm00001eb353550	Known	cell projection.actin cytoskeleton.multicellular organism development.biological regulation.protein-containing complex.cell periphery.cellular process.microtubule cytoskeleton.cellular component organization.membrane.Unknown.catalytic activity.endomembrane system.Unknown
C0	Zm00001eb428940	Known	regulation of DNA-templated transcription.multicellular organism development.zinc ion binding.transcription by RNA polymerase II.nucleic acid binding.membrane.intracellular anatomical structure
C0	Zm00001eb437200		
C0	Zm00001eb418990	Zm00001eb101480.Zm00001eb066190.Zm00001eb100340.Zm00001eb023930	macromolecule metabolic process.signal transduction.biological regulation.membrane.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function
C0	Zm00001eb432310	Known	extracellular region.regulation of biosynthetic process.regulation of mitotic cell cycle.DNA binding.negative regulation of biological process.defense response to bacterium.Unknown.Unknown.defense response to fungus.Unknown.protein metabolic process.system development.membrane
C0	Zm00001eb387550	Zm00001eb062810	
C0	Zm00001eb351390	Known	root hair elongation.epidermal cell differentiation.anatomical structure formation involved in morphogenesis.GTP cyclohydrolase II activity.chloroplast stroma.riboflavin biosynthetic process.membrane.mRNA modification.3,4-dihydroxy-2-butanone-4-phosphate synthase activity.animal organ development
C0	Zm00001eb165890	Known	L-phenylalanine-2-oxoglutarate transaminase activity.L-tyrosine-2-oxoglutarate transaminase activity.catabolic process.pyridoxal phosphate binding.iron ion transport.plastid.amino acid metabolic process.nicotianamine aminotransferase activity.amine metabolic process.vitamin E biosynthetic process.ketone metabolic process
C0	Zm00001eb314970	Zm00001eb153000.Zm00001eb006610.Zm00001eb182560.Zm00001eb148380.Zm00001eb197300.Zm00001eb401490	cellular process.biological_process.molecular_function.biological regulation.anatomical structure formation involved in morphogenesis.hydrocarbon metabolic process.binding.ion binding.developmental maturation.small molecule binding
C0	Zm00001eb148190	Known	cellular response to endogenous stimulus.cellular response to chemical stimulus.regulation of DNA-templated transcription.nucleus.chromatin binding.DNA-binding transcription factor activity.DNA-templated transcription.DNA binding.response to hormone
C0	Zm00001eb318500	Known	nucleus.protein dimerization activity.DNA-templated transcription.regulation of DNA-templated transcription
C0	Zm00001eb167810	Known	nucleobase-containing compound transmembrane transporter activity.purine nucleobase transmembrane transport.adenine transport.cellular process.purine nucleobase transmembrane transporter activity.guanine transport.nucleobase-containing compound transport.membrane
C0	Zm00001eb070060	Zm00001eb403060.Zm00001eb095480.Zm00001eb251290.Zm00001eb009960.Zm00001eb378870	regulation of biological process.macromolecule metabolic process.biological regulation.nucleic acid metabolic process.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component
C0	Zm00001eb255240	Known	response to cadmium ion.response to abscisic acid.response to salt stress.plasma membrane.response to heat.response to water deprivation.establishment of localization.response to cold.calcium ion binding.response to red or far red light.mitochondrion.regulation of biological process.cellular process.chloroplast stroma.plasmodesma.multicellular organismal process.response to oxidative stress.cytosol.cell wall.calcium-dependent phospholipid binding.thylakoid.apoplast.vacuolar membrane
C0	Zm00001eb438360	Zm00001eb435650	
C0	Zm00001eb431310	Known	nucleotide binding.mRNA splicing, via spliceosome.response to ozone.nucleus.mRNA binding.regulation of cellular process.poly(A) binding
C0	Zm00001eb096950	Zm00001eb038930	
C0	Zm00001eb207550	Known	primary metabolic process.glycosyltransferase activity.localization.Unknown.macromolecule metabolic process.biosynthetic process.response to cytokinin.Golgi apparatus.pyrophosphatase activity.membrane
C0	Zm00001eb048900	Zm00001eb048890.Zm00001eb389260.Zm00001eb201030.Zm00001eb177060	localization.stamen development.floral organ development.membrane.phyllome development.plasma membrane.transport.establishment of localization.cellular process.anatomical structure development
C0	Zm00001eb139900	Zm00001eb237220.Zm00001eb083600.Zm00001eb056340.Zm00001eb237230.Zm00001eb260820	primary metabolic process.metabolic process.cellular process.biological_process.ketone catabolic process.methylglyoxal catabolic process.methylglyoxal catabolic process to lactate.methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione.aldehyde catabolic process.methylglyoxal metabolic process
C0	Zm00001eb251290	Known	post-translational protein modification.regulation of biological process.cysteine-type deubiquitinase activity.protein deubiquitination.ubiquitin-dependent protein catabolic process.membrane
C0	Zm00001eb089670	Zm00001eb100340.Zm00001eb101480.Zm00001eb064120.Zm00001eb066190.Zm00001eb023930	membrane.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.structural constituent of ribosome.monocarboxylic acid metabolic process.structural molecule activity
C0	Zm00001eb271090	Zm00001eb182560.Zm00001eb232010.Zm00001eb081330.Zm00001eb026440.Zm00001eb148380	cellular process.biological_process.molecular_function
C0	Zm00001eb394650	Zm00001eb229430.Zm00001eb003000.Zm00001eb075050.Zm00001eb331550.Zm00001eb268090.Zm00001eb064120	cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.plasma membrane.membrane-bounded organelle.intracellular membrane-bounded organelle.response to abiotic stimulus.response to stimulus
C0	Zm00001eb421860	Zm00001eb397520	
C0	Zm00001eb133840	Known	monoatomic cation transport.monoatomic ion transmembrane transport.mitochondrion.monoatomic ion channel activity.viral envelope.regulation of DNA-templated transcription.transcription by RNA polymerase II.pore complex.Unknown.porin activity.identical protein binding.chloroplast inner membrane
C0	Zm00001eb023090	Known	cellular oxidant detoxification.oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor.biological regulation.Unknown.Unknown.response to stress.peroxidase activity.membrane
C0	Zm00001eb294700	Known	clathrin-coated pit.protein glycosylation.membrane fusion.protein targeting to vacuole.regulation of biological process.clathrin coat assembly.vesicle coating.plasma membrane.clathrin-coated vesicle.clathrin binding.2-alkenal reductase [NAD(P)H] activity.multicellular organismal process.Golgi apparatus.1-phosphatidylinositol binding.endocytosis.clathrin coat
C0	Zm00001eb435780		
C0	Zm00001eb086700	Known	plasmodesma.plasma membrane.cytoplasm.heat acclimation.transition metal ion transport.nuclear membrane.transition metal ion binding.Unknown.metabolic process.membrane
C0	Zm00001eb407610	Known	cytosol.regulation of DNA-templated transcription.translational elongation.multicellular organism development.transcription elongation by RNA polymerase II.metabolic process.cellular component organization.translation elongation factor activity.elongin complex.DNA binding
C0	Zm00001eb347150	Zm00001eb172070.Zm00001eb260820.Zm00001eb177480.Zm00001eb140160.Zm00001eb325920.Zm00001eb237270.Zm00001eb156000.Zm00001eb058790	primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.catalytic activity.nucleobase-containing compound metabolic process.plastid stroma
C0	Zm00001eb087350	Known	Unknown.N-terminal protein myristoylation.response to cadmium ion.response to endoplasmic reticulum stress.response to cytokinin.phosphatidylinositol-3,5-bisphosphate binding.phosphatidylinositol-3-phosphate binding.response to high light intensity.metabolic process.peptidyl-prolyl cis-trans isomerase activity.seed germination.regulation of biological process.vacuole.cellular heat acclimation.nucleus.calmodulin binding.protein peptidyl-prolyl isomerization.response to osmotic stress.cell periphery.cytosol.response to hydrogen peroxide.response to wounding.endoplasmic reticulum membrane.FK506 binding.membrane
