name	full_name	type	species	synonyms
GRMZM2G127609	 	Gene	Zea mays ssp. mays	{"20 kDa chaperonin, chloroplastic","chloroplast co-chaperonin 21 (CPN21)","pco135715(717)","pco135715c"}
GRMZM2G128315	 	Gene	Zea mays ssp. mays	{"GRMZM2G128315","probable LRR receptor-like serine/threonine-protein kinase IRK"}
GRMZM2G128395	 	Gene	Zea mays ssp. mays	{"1,4-alpha-glucan-branching enzyme pseudogene","GRMZM2G128395"}
GRMZM2G128995	 	Gene	Zea mays ssp. mays	{"GRMZM2G128995","vacuolar ATP synthase subunit C","Vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3)"}
GRMZM2G129249	 	Gene	Zea mays ssp. mays	{"dirigent protein","ZmDIR23"}
GRMZM2G129935	 	Gene	Zea mays ssp. mays	{"peroxidase 2","peroxidase 64","putative class III secretory plant peroxidase family protein","ZmPRX57","ZmPRX79"}
GRMZM2G130062	 	Gene	Zea mays ssp. mays	{"2-isopropylmalate synthase 1 chloroplastic","2-isopropylmalate synthase B","GRMZM2G130062"}
GRMZM2G130224	 	Gene	Zea mays ssp. mays	{"restriction endonuclease type II-like superfamily protein"}
GRMZM2G130950	 	Gene	Zea mays ssp. mays	{"5′-AMP-activated protein kinase beta-2 subunit","SNF1-related protein kinase regulatory subunit beta-1"}
GRMZM2G131080	 	Gene	Zea mays ssp. mays	{"GRMZM2G131080","GT&#947;D"}
GRMZM2G133175	 	Gene	Zea mays ssp. mays	{"adhesive/proline-rich protein","cysteine-rich TM module stress tolerance (CYSTM)","GRMZM2G133175"}
GRMZM2G133434	 	Gene	Zea mays ssp. mays	{"peroxidase 45","ZmPRX54"}
GRMZM2G133464	 	Gene	Zea mays ssp. mays	{"pco069598","serine/threonine-protein phosphatase PP2A-1 catalytic subunit","ZmPP88"}
GRMZM2G133475	 	Gene	Zea mays ssp. mays	{"GRMZM2G133475","PER66; PRX66; POX3-2; pmPOX3-2","peroxidase 66","POD","ZmPRX25","ZmPRX26"}
GRMZM2G133684	 	Gene	Zea mays ssp. mays	{"GRMZM2G133684","IDP3993","Integral membrane HPP family protein"}
GRMZM2G134308	 	Gene	Zea mays ssp. mays	{"GRMZM2G134308","GUT1i","putative beta-14-xylosyltransferase IRX10L"}
GRMZM2G134806	 	Gene	Zea mays ssp. mays	{"FAM10 family protein","GRMZM2G134806","hsc70-interacting protein","Hsp70-interacting protein N-terminal domain-containing"}
GRMZM2G135073	 	Gene	Zea mays ssp. mays	{"STE20/SPS1-related proline-alanine-rich protein kinase"}
GRMZM2G135586	 	Gene	Zea mays ssp. mays	{"Bifunctional riboflavin kinase/FMN phosphatase","GRMZM2G135586"}
GRMZM2G135722	 	Gene	Zea mays ssp. mays	{"anthocyanidin 3-O-glucosyltransferase","UF3GT","ZmUFGT"}
GRMZM2G136042	 	Gene	Zea mays ssp. mays	{"peroxidase 50","ZmPRX27"}
GRMZM2G136158	 	Gene	Zea mays ssp. mays	{"peroxidase 24","ZmPRX95"}
GRMZM2G136469	 	Gene	Zea mays ssp. mays	{"ZmCLE1B-3"}
GRMZM2G136525	 	Gene	Zea mays ssp. mays	{"peroxidase 12","ZmPRX115","ZmPRX90"}
GRMZM2G136534	 	Gene	Zea mays ssp. mays	{"peroxidase 55","ZmPOD55","ZmPRX13"}
GRMZM2G136884	 	Gene	Zea mays ssp. mays	{"aspartyl protease family protein 2-like","eukaryotic aspartyl protease family protein"}
GRMZM2G136971	 	Gene	Zea mays ssp. mays	{"GRMZM2G136971","Polygalacturonase QRT3leucine-rich repeat extensin-like protein 3"}
GRMZM2G137120	 	Gene	Zea mays ssp. mays	{""}
GRMZM2G137211	 	Gene	Zea mays ssp. mays	{"GAR2","GRMZM2G137211","ZmGAR2"}
GRMZM2G138450	 	Gene	Zea mays ssp. mays	{"peroxidase 1","ZmPRX52","ZmPRX80"}
GRMZM2G138454	 	Gene	Zea mays ssp. mays	{"bHLH transcription factor"}
GRMZM2G138516	 	Gene	Zea mays ssp. mays	{"GRMZM2G138516","Putative clathrin assembly protein"}
GRMZM2G138949	 	Gene	Zea mays ssp. mays	{"BTB/POZ domain protein pseudogene","GRMZM2G138949"}
GRMZM2G139360	 	Gene	Zea mays ssp. mays	{"ATP-dependent 6-phosphofructokinase 5 chloroplastic","PFK isoform"}
GRMZM2G139460	 	Gene	Zea mays ssp. mays	{"GRMZM2G139460"}
GRMZM2G139512	 	Gene	Zea mays ssp. mays	{"chloroplastic quinone-oxidoreductase","GRMZM2G139512","putative alcohol dehydrogenase superfamily protein"}
GRMZM2G139892	 	Gene	Zea mays ssp. mays	{"Dual specificity protein phosphatase PHS1","ZmPP48"}
GRMZM2G140328	 	Gene	Zea mays ssp. mays	{"calcium-transporting ATPase 5, plasma membrane-type","GRMZM2G140328","ZmRoot-Sr"}
GRMZM2G142011	 	Gene	Zea mays ssp. mays	{"peroxidase 16","ZmPRX56"}
GRMZM2G142660	 	Gene	Zea mays ssp. mays	{"EXS (ERD1/XPR1/SYG1) family protein","PHO1","SPX and EXS domain-containing protein 1-like"}
GRMZM2G143335	 	Gene	Zea mays ssp. mays	{"GRMZM2G143335","putative proteinase inhibitor family protein","subtilisin-like protease 3"}
GRMZM2G144985	 	Gene	Zea mays ssp. mays	{"GRMZM2G144985","serine palmitoyltransferase 1"}
GRMZM2G145085	 	Gene	Zea mays ssp. mays	{"transcription activator","transcription initiation factor IIF subunit alpha"}
GRMZM2G145879	 	Gene	Zea mays ssp. mays	{"CDKD1;1","cyclin-dependent kinase D-1","putative cyclin-dependent kinase family protein"}
GRMZM2G145909	 	Gene	Zea mays ssp. mays	{"putative HLH DNA-binding domain superfamily protein","transcription factor IBH1-like 1"}
GRMZM2G146190	 	Gene	Zea mays ssp. mays	{"CYP59","peptidyl-prolyl cis-trans isomerase CYP59"}
GRMZM2G146192	 	Gene	Zea mays ssp. mays	{"auxin-induced beta-glucosidase","beta-xylosidase 2","glycoside hydroxylase","probable beta-D-xylosidase 2","putative O-Glycosyl hydrolase superfamily protein"}
GRMZM2G146267	 	Gene	Zea mays ssp. mays	{"GRMZM2G146267","RNA binding (RRM/RBD/RNP motifs) family protein"}
GRMZM2G147158	 	Gene	Zea mays ssp. mays	{"calmodulin-binding protein 60 B","calmodulin-binding protein 60 C","GRMZM2G147158"}
GRMZM2G147226	 	Gene	Zea mays ssp. mays	{"DUF-like gene","ENTH/VHS family protein","GRMZM2G147226","GRMZM2G447406","steroid hormone receptor","Zm00001eb364010"}
GRMZM2G148056	 	Gene	Zea mays ssp. mays	{"A-ARR homolog","GRMZM2G148056","wo-component response regulator ARR3","ZmOrphan120"}
GRMZM2G148400	 	Gene	Zea mays ssp. mays	{"glucan endo-1,3-beta-glucosidase 14","glycosyl hydrolase superfamily protein","putative O-glycosyl hydrolase family 17 protein"}
GRMZM2G148539	 	Gene	Zea mays ssp. mays	{"putative kelch repeat-containing protein containing ser/thr protein kinase family protein","serine/threonine-protein phosphatase BSL2 homolog","serine/threonine-protein phosphatase BSL3","ZmBSU1","ZmPP81"}
GRMZM2G148793	 	Gene	Zea mays ssp. mays	{"GRMZM2G148793","mucin-1-like"}
GRMZM2G148904	 	Gene	Zea mays ssp. mays	{"EA","embryonic abundant protein-like","GRMZM2G148904","S-adenosyl-L-methionine-dependent methyltransferase superfamily protein"}
GRMZM2G149273	 	Gene	Zea mays ssp. mays	{"E1.11.1.7","peroxidase 5","peroxidase K","ZmPRX104","ZmPRX78"}
GRMZM2G149277	 	Gene	Zea mays ssp. mays	{"cell signal transduction involving protein phosphorylation","GRMZM2G149277","leucine-rich repeat receptor kinase-like protein","putative leucine-rich repeat receptor-like protein kinase family protein","serine/threonine-protein kinase - ribosome S4e pseudogene"}
GRMZM2G149535	 	Gene	Zea mays ssp. mays	{"Amino acid kinase family protein","GRMZM2G149535","SIP1U"}
GRMZM2G149704	 	Gene	Zea mays ssp. mays	{"phosphatase-related","protein SGT1 homolog A","suppressor of G2 allele of SKP1 homolog"}
GRMZM2G150134	 	Gene	Zea mays ssp. mays	{"peroxidase 29","ZmPRX69","ZmPRX96"}
GRMZM2G150714	 	Gene	Zea mays ssp. mays	{"protein Kinase-like protein TMKL1","putative leucine-rich repeat receptor-like protein kinase family protein"}
GRMZM2G150729	 	Gene	Zea mays ssp. mays	{"putative HLH DNA-binding domain superfamily protein","ZmbHLH9"}
GRMZM2G150731	 	Gene	Zea mays ssp. mays	{"peroxidase 64","putative class III secretory plant peroxidase family protein","ZmPRX59","ZmPRX81"}
GRMZM2G150780	 	Gene	Zea mays ssp. mays	{"peroxidase 1","peroxidase R15","ZmPRX53","ZmPRX82"}
GRMZM2G151425	 	Gene	Zea mays ssp. mays	{"adenine nucleotide alpha hydrolase-like superfamily protein"}
GRMZM2G152278	 	Gene	Zea mays ssp. mays	{"Ca2+-dependent lipid-binding protein","calcium-dependent lipid-binding (CaLB domain) family protein","GRMZM2G152278","tricalbin-3"}
GRMZM2G153434	 	Gene	Zea mays ssp. mays	{"GRMZM2G153434","PQ loop repeat family protein"}
GRMZM2G153984	 	Gene	Zea mays ssp. mays	{"2-hydroxy-3-oxopropionate reductase","GHBDH1","GRMZM2G153984","WAT1-related protein"}
GRMZM2G153991	 	Gene	Zea mays ssp. mays	{"FK506-binding protein 2-1","peptidyl-prolyl cis-trans isomerase FKBP15-1","putative FKBP-type peptidyl-prolyl cis-trans isomerase family protein","ZmFKBP15-2"}
GRMZM2G154041	 	Gene	Zea mays ssp. mays	{"cardiolipin synthase, mitochondrial-like","PGPS"}
GRMZM2G154574	 	Gene	Zea mays ssp. mays	{"GRMZM2G154574","tRNA wybutosine-synthesizing protein 2/3/4"}
GRMZM2G154685	 	Gene	Zea mays ssp. mays	{"70 kDa peptidyl-prolyl isomerase","peptidyl-prolyl cis-trans isomerase FKBP65","ROF1 homolog","ZmFKBP62b"}
GRMZM2G154747	 	Gene	Zea mays ssp. mays	{"GRMZM2G154747","membrane protein PM19L-like","pco126369","pco126369(760)","plasma membrane associated protein"}
GRMZM2G154864	 	Gene	Zea mays ssp. mays	{"transducin/WD40 repeat-like superfamily protein","WD repeat-containing protein 74"}
GRMZM2G155077	 	Gene	Zea mays ssp. mays	{"HSP20-2","hsp20/alpha crystallin family protein"}
GRMZM2G155323	 	Gene	Zea mays ssp. mays	{"Thr DHT","threonine dehydratase 1 biosynthetic, chloroplastic"}
GRMZM2G155746	 	Gene	Zea mays ssp. mays	{""}
GRMZM2G155762	 	Gene	Zea mays ssp. mays	{"putative HLH DNA-binding domain superfamily protein","ZmbHLH206"}
GRMZM2G157018	 	Gene	Zea mays ssp. mays	{"ATP6","ATP synthase D chain, mitochondrial","ATP synthase subunit d, mitochondrial"}
GRMZM2G157241	 	Gene	Zea mays ssp. mays	{"Calcium-binding protein CML30-related","GRMZM2G157241","probable calcium-binding protein CML45"}
GRMZM2G157247	 	Gene	Zea mays ssp. mays	{"GRMZM2G157247"}
GRMZM2G158062	 	Gene	Zea mays ssp. mays	{"Eukaryotic translation initiation factor-related","GRMZM2G158062"}
GRMZM2G158281	 	Gene	Zea mays ssp. mays	{"putative HLH DNA-binding domain superfamily protein","transcription factor LHW","ZmbHLH110"}
GRMZM2G158359	 	Gene	Zea mays ssp. mays	{"probable receptor protein kinase TMK1","putative leucine-rich repeat receptor-like protein kinase family protein","receptor-like kinase TMK2"}
GRMZM2G158479	 	Gene	Zea mays ssp. mays	{"cytochrome c1, heme protein mitochondrial","GRMZM2G158479"}
GRMZM2G159053	 	Gene	Zea mays ssp. mays	{"glycosyl transferase family 1 protein","GRMZM2G159053"}
GRMZM2G159307	 	Gene	Zea mays ssp. mays	{"P-loop containing nucleoside triphosphate hydrolase superfamily protein"}
GRMZM2G159353	 	Gene	Zea mays ssp. mays	{"cytochrome P450 71B10","F3'H","putative cytochrome P450 superfamily protein"}
GRMZM2G159503	 	Gene	Zea mays ssp. mays	{"dirigent protein 22","GRMZM2G159503","ZmDIR12"}
GRMZM2G159587	 	Gene	Zea mays ssp. mays	{"glyoxylate reductase","ZmGR"}
GRMZM2G160062	 	Gene	Zea mays ssp. mays	{"peroxidase 2","peroxidase 64","ZmPRX116","ZmPRX84"}
GRMZM2G161004	 	Gene	Zea mays ssp. mays	{"GRMZM2G161004","nucleic acid binding protein","Splicing factor suppressor of abi3-5"}
GRMZM2G161035	 	Gene	Zea mays ssp. mays	{"endoplasmic reticulum chaperone; luminal binding protein BiP","heat shock 70 kDa protein 14","luminal-binding protein 3-like"}
GRMZM2G161233	 	Gene	Zea mays ssp. mays	{"GAE6","GRMZM2G161233","UDP-glucuronate 4-epimerase 1","UDP-glucuronate 4-epimerase 6"}
GRMZM2G161913	 	Gene	Zea mays ssp. mays	{"protein CTR9 homolog","protein CTR9-like protein"}
GRMZM2G162007	 	Gene	Zea mays ssp. mays	{"GRMZM2G162007","oxidoreductase zinc-binding dehydrogenase family protein","putative alcohol dehydrogenase superfamily protein"}
GRMZM2G162388	 	Gene	Zea mays ssp. mays	{"GRMZM2G162388","peptidyl-prolyl cis-trans isomerase-like","PPIase"}
GRMZM2G162670	 	Gene	Zea mays ssp. mays	{"phosphatidylinositolglycan synthase family protein","phosphatidylinositol N-acetylglucosaminyltransferase subunit C-like"}
GRMZM2G162859	 	Gene	Zea mays ssp. mays	{"BAH domain","ZmMED26_17"}
GRMZM2G162893	 	Gene	Zea mays ssp. mays	{"basic helix-loop-helix (bHLH) DNA-binding superfamily protein","putative HLH DNA-binding domain superfamily protein","ZmbHLH159"}
GRMZM2G163975	 	Gene	Zea mays ssp. mays	{"transcription factor bHLH110","ZmbHLH75"}
GRMZM2G165011	 	Gene	Zea mays ssp. mays	{"H3K9 methyltransferase (H3K9me2)","histone-lysine N-methyltransferase family member SUVH9"}
GRMZM2G165788	 	Gene	Zea mays ssp. mays	{"GRMZM2G165788","ZmOrphan35 "}
GRMZM2G166407	 	Gene	Zea mays ssp. mays	{"pentatricopeptide repeat-containing protein At3g42630"}
GRMZM2G166566	 	Gene	Zea mays ssp. mays	{"YMR317W-like"}
GRMZM2G166684	 	Gene	Zea mays ssp. mays	{"anaphase-promoting complex subunit 6","putative tetratricopeptide repeat domain containing family protein"}
GRMZM2G166963	 	Gene	Zea mays ssp. mays	{"60S ribosomal protein L34","eL34","GRMZM2G166963","ZmRPL34"}
GRMZM2G167253	 	Gene	Zea mays ssp. mays	{"GRMZM2G167253","receptor protein-tyrosine kinase CEPR2"}
GRMZM2G167338	 	Gene	Zea mays ssp. mays	{"GRMZM2G167338","telomerase reverse transcriptase catalytic subunit","TERT"}
GRMZM2G167584	 	Gene	Zea mays ssp. mays	{"GRMZM2G167584","ZmEXI1"}
GRMZM2G167686	 	Gene	Zea mays ssp. mays	{"cell wall modification related gene","GRMZM2G167686"}
GRMZM2G168087	 	Gene	Zea mays ssp. mays	{"dual specificity protein phosphatase Diacylglycerol kinase, catalytic region","qTBN8-2","ZmPP131"}
GRMZM2G168371	 	Gene	Zea mays ssp. mays	{"GRMZM2G168371","Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 3","putative protein of unknown function (DUF640) domain family protein"}
GRMZM2G168744	 	Gene	Zea mays ssp. mays	{"Endonuclease 1","GRMZM2G168744","ZmBFN1","ZmENDO1"}
GRMZM2G169293	 	Gene	Zea mays ssp. mays	{"GRMZM2G169293","phosphatidylinositol:ceramide inositolphosphotransferase 1"}
GRMZM2G170088	 	Gene	Zea mays ssp. mays	{"GRMZM2G170088","GW2 (grain width2) homologue","putative RING zinc finger domain superfamily protein","RING-type E3 ubiquitin ligase","ZmGW2-CHR4"}
GRMZM2G170338	 	Gene	Zea mays ssp. mays	{"defense-related protein","GRMZM2G170338"}
GRMZM2G171078	 	Gene	Zea mays ssp. mays	{"peroxidase 4","peroxidase 67","ZmPRX71"}
GRMZM2G171254	 	Gene	Zea mays ssp. mays	{"GRMZM2G171254"}
GRMZM2G171660	 	Gene	Zea mays ssp. mays	{"RNA binding (RRM/RBD/RNP motifs) family protein","ZmELF9 (EARLY FLOWERING9)"}
GRMZM2G172230	 	Gene	Zea mays ssp. mays	{"chaperone protein ClpD chloroplastic","GRMZM2G172230","SENESCENCE ASSOCIATED GENE 15 (SAG15), EARLY RESPONSIVE TO DEHYDRATION 1 (ERD1)","serine proteases 1 (SER1)","ZmClpA","ZmERD1","ZmHSP100 class A"}
GRMZM2G173035	 	Gene	Zea mays ssp. mays	{"putative inactive dual specificity protein phosphatase-like","ZmPP34"}
GRMZM2G174449	 	Gene	Zea mays ssp. mays	{"GRMZM2G174449"}
GRMZM2G174585	 	Gene	Zea mays ssp. mays	{"leucine-rich repeat protein kinase family protein","probable LRR receptor-like serine/threonine-protein kinase At1g06840","putative leucine-rich repeat receptor-like protein kinase family protein","putative LRRRLK"}
GRMZM2G174736	 	Gene	Zea mays ssp. mays	{"basic salivary proline-rich protein 2","proline-rich protein 2","si605080a10"}
GRMZM2G174971	 	Gene	Zea mays ssp. mays	{"Anaphase-promoting complex subunit 10","GRMZM2G174971"}
GRMZM2G175910	 	Gene	Zea mays ssp. mays	{"cytokinin-O-glucosyltransferase","GRMZM2G175910","UDP-glycosyltransferase 90A1"}
GRMZM2G176085	 	Gene	Zea mays ssp. mays	{"peroxidase 16","peroxidase 51","peroxidase 73","POD","ZmPRX36","ZmPRX59"}
GRMZM2G177227	 	Gene	Zea mays ssp. mays	{"exo70 exocyst complex subunit family protein","GRMZM2G177227"}
GRMZM2G178686	 	Gene	Zea mays ssp. mays	{"GRMZM2G178686","TAS3a","ZmTAS3a; ZmTAS3l"}
GRMZM2G178795	 	Gene	Zea mays ssp. mays	{"SRR1-like protein","ZmSRR1 (SENSITIVITY TO RED LIGHT REDUCED 1)"}
GRMZM2G179063	 	Gene	Zea mays ssp. mays	{"GRMZM2G179063","UDP-glycosyltransferase 73D1-like"}
GRMZM2G179528	 	Gene	Zea mays ssp. mays	{"SCPL18","serine carboxypeptidase-like 18-like","serine carboxypeptidase-like 19"}
GRMZM2G179768	 	Gene	Zea mays ssp. mays	{"GRMZM2G179768","metalloendoproteinase 1","Zinc-dependent matrix metalloproteinase/predicted GPI-anchored protein"}
GRMZM2G180060	 	Gene	Zea mays ssp. mays	{"GRMZM2G180060"}
GRMZM2G180065	 	Gene	Zea mays ssp. mays	{"GRMZM2G180065","Non-specific serine/threonine protein kinase, Threonine-specific protein kinase","putative protein kinase superfamily protein"}
GRMZM2G180620	 	Gene	Zea mays ssp. mays	{"universal stress protein family protein"}
GRMZM2G300709	 	Gene	Zea mays ssp. mays	{"GRMZM2G300709","Kin12C","kinesin-like protein KIN-12C","kinesin-like protein KIN-12E"}
GRMZM2G300786	 	Gene	Zea mays ssp. mays	{"protein AMEIOTIC 1 homolog","Protein DYAD","SWI1 / DYAD","SWITCH1"}
GRMZM2G301738	 	Gene	Zea mays ssp. mays	{"GRMZM2G301738","G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130","putative S-locus receptor-like protein kinase 4"}
GRMZM2G301884	 	Gene	Zea mays ssp. mays	{"ATP binding protein","GRMZM2G301884"}
GRMZM2G303337	 	Gene	Zea mays ssp. mays	{"sucrose phosphate synthase"}
GRMZM2G304712	 	Gene	Zea mays ssp. mays	{"Cinnamate beta-D-glucosyltransferase, GT2","gnp_AI939829b","gpm113b","GRMZM2G304712","limonoid UDP-glucosyltransferase","UDP-glycosyltransfarase","UDP-glycosyltransferase 84A1","ZmUGT84A1"}
GRMZM2G305439	 	Gene	Zea mays ssp. mays	{"Leaf senescence related protein","protein trichome birefringence-like 19","protein trichome birefringence-like 20"}
GRMZM2G307553	 	Gene	Zea mays ssp. mays	{"GRMZM2G307553"}
GRMZM2G308463	 	Gene	Zea mays ssp. mays	{"GRMZM2G308463","short-chain dehydrogenase reductase ATA1"}
GRMZM2G310674	 	Gene	Zea mays ssp. mays	{"GRMZM2G310674","polynucleotidyl transferase putative protein","SDN5b","small RNA degrading nuclease 5"}
GRMZM2G312091	 	Gene	Zea mays ssp. mays	{"phosphate ion transport; amino acid transport; PHF1","sec12-like protein 1"}
GRMZM2G313058	 	Gene	Zea mays ssp. mays	{"putative HLH DNA-binding domain superfamily protein","transcription factor bHLH112","ZmbHLH145"}
GRMZM2G313101	 	Gene	Zea mays ssp. mays	{"allyl alcohol dehydrogenase-like protein","GRMZM2G313101"}
GRMZM2G313184	 	Gene	Zea mays ssp. mays	{"peroxidase 47","peroxidase R15","POD47","PX47","ZmPRX72"}
GRMZM2G313321	 	Gene	Zea mays ssp. mays	{"alpha/beta-Hydrolases superfamily protein","GRMZM2G313321","serine protease, vignain"}
GRMZM2G313754	 	Gene	Zea mays ssp. mays	{"GRMZM2G313754","protein phosphatase 2C 50-like","ZmOrphan216"}
GRMZM2G313909	 	Gene	Zea mays ssp. mays	{"QWRF motif-containing protein 2"}
GRMZM2G314171	 	Gene	Zea mays ssp. mays	{"DEAD-box ATP-dependent RNA helicase 18-like","GRMZM2G314171"}
GRMZM2G319062	 	Gene	Zea mays ssp. mays	{"polyphenol oxidase I, chloroplastic-like","polyphenol oxidase latent form, chloroplastic"}
GRMZM2G319167	 	Gene	Zea mays ssp. mays	{"GRMZM2G319167","protein RST1"}
GRMZM2G319357	 	Gene	Zea mays ssp. mays	{"low molecular weight protein-tyrosine-phosphatase slr0328","ZmPP14"}
GRMZM2G322819	 	Gene	Zea mays ssp. mays	{"prolyl endopeptidase","prolyl oligopeptidase family protein"}
GRMZM2G323182	 	Gene	Zea mays ssp. mays	{"L-ascorbate peroxidase 1, cytosolic","L-ascorbate peroxidase 2 cytosolic","ZmPRX83"}
GRMZM2G323828	 	Gene	Zea mays ssp. mays	{"probable mediator of RNA polymerase II transcription subunit 26b","ZmMED26_19"}
GRMZM2G324462	 	Gene	Zea mays ssp. mays	{"P-type ATPase.","putative phospholipid-transporting ATPase 9"}
GRMZM2G325693	 	Gene	Zea mays ssp. mays	{""}
GRMZM2G327266	 	Gene	Zea mays ssp. mays	{"beta-expansin 4","expansin-B4","ZmEXPB17"}
GRMZM2G328374	 	Gene	Zea mays ssp. mays	{""}
GRMZM2G328612	 	Gene	Zea mays ssp. mays	{"telomere-associated protein RIF1"}
GRMZM2G329181	 	Gene	Zea mays ssp. mays	{"FASCICLIN-like arabinogalactan protein 17","GRMZM2G329181"}
GRMZM2G329300	 	Gene	Zea mays ssp. mays	{"nuclear pore complex protein NUP1-like"}
GRMZM2G331652	 	Gene	Zea mays ssp. mays	{"aminotransferase-like  protein","GRMZM2G331652"}
GRMZM2G332280	 	Gene	Zea mays ssp. mays	{"FRK1","GRMZM2G332280","probable LRR receptor-like serine/threonine-protein kinase At1g05700","protein kinase-related","ZmCrRLK1L7"}
GRMZM2G333183	 	Gene	Zea mays ssp. mays	{"ABC transporter B family member 14","ABC transporter B family member 19","GRMZM2G333183","ZmABCB13/32","ZmABCB32"}
GRMZM2G333923	 	Gene	Zea mays ssp. mays	{"DUF679 domain membrane protein 7"}
GRMZM2G336909	 	Gene	Zea mays ssp. mays	{"H3 lysine-9 specific SUVH4","putative histone-lysine N-methyltransferase family protein"}
GRMZM2G338376	 	Gene	Zea mays ssp. mays	{"GRMZM2G338376","PTI1-like tyrosine-protein kinase At3g15890"}
GRMZM2G338631	 	Gene	Zea mays ssp. mays	{"serine/threonine-protein phosphatase PP1-like","ZmPP73"}
GRMZM2G341723	 	Gene	Zea mays ssp. mays	{"ZmHD phosphohydrolase"}
GRMZM2G341771	 	Gene	Zea mays ssp. mays	{"Don-glucosyltransferase 1; AtUGT73C5 homolog","UDP-glycosyltransferase 73D1"}
GRMZM2G341934	 	Gene	Zea mays ssp. mays	{"peroxidase 64","peroxidase 66","ZmPRX1","ZmPRX15"}
GRMZM2G342685	 	Gene	Zea mays ssp. mays	{"caleosin","GRMZM2G342685","ZmRD20"}
GRMZM2G343519	 	Gene	Zea mays ssp. mays	{"glutaredoxin family protein","GRMZM2G343519"}
GRMZM2G345687	 	Gene	Zea mays ssp. mays	{"UDP-glycosyltransferase superfamily pseudogene"}
GRMZM2G348666	 	Gene	Zea mays ssp. mays	{"cl553_1","cl553_1(616)","isoleucine--tRNA ligase cytoplasmic"}
GRMZM2G349603	 	Gene	Zea mays ssp. mays	{"haloacid dehalogenase (HAD) superfamily protein","PGPP","phosphatidylglycerophosphate phosphatase 1, chloroplastic-like"}
GRMZM2G350428	 	Gene	Zea mays ssp. mays	{"clavata3/esr-related4B","clavata (CLV)","embryo-surrounding region (ESR)","GRMZM2G350428","ZmCLE4B"}
GRMZM2G351027	 	Gene	Zea mays ssp. mays	{"GRMZM2G351027","MEI2 C-terminal RRM only like 1","protein MEI2-like 7","TERMINAL EAR LIKE1","ZmMCT1"}
GRMZM2G352627	 	Gene	Zea mays ssp. mays	{"HSP20-5","small heat shock-like protein"}
GRMZM2G352855	 	Gene	Zea mays ssp. mays	{"CCT","lecithin-cholesterol acyltransferase-like 1"}
GRMZM2G353921	 	Gene	Zea mays ssp. mays	{"GRMZM2G353921","GT&#947;A"}
GRMZM2G355906	 	Gene	Zea mays ssp. mays	{"&#947;-aminobutyric acid5","GAD2 (Glutamate decarboxylase 2)","gamma-aminobutyric acid","gutamate decarboxylase-like","pyridoxal phosphate (PLP)-dependent transferase superfamily protein","ZmGAD5"}
GRMZM2G357034	 	Gene	Zea mays ssp. mays	{"ABC transporter G family member 6","ABC transporter G family member STR","ZmSTR1"}
GRMZM2G359322	 	Gene	Zea mays ssp. mays	{"EARLY flowering 4 protein","GRMZM2G359322","protein ELF4-LIKE 4","ZmELF4.1"}
GRMZM2G359974	 	Gene	Zea mays ssp. mays	{"acyl transferase 15","GRMZM2G359974"}
GRMZM2G361210	 	Gene	Zea mays ssp. mays	{"C2H2-type zinc finger transcription factor related to RAMOSA1 (RA1)","zinc finger protein ZAT11"}
GRMZM2G361475	 	Gene	Zea mays ssp. mays	{"peroxidase 12","ZmPRX40"}
GRMZM2G363066	 	Gene	Zea mays ssp. mays	{"GRMZM2G363066","G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300","OSJNBb0022F16.11-like protein"}
GRMZM2G363554	 	Gene	Zea mays ssp. mays	{"cyanidin 3-O-rutinoside 5-O-glucosyltransferase-like","UDP-glycosyltransferase 75B1","UDP-glycosyltransferase 75C1"}
GRMZM2G365774	 	Gene	Zea mays ssp. mays	{"peroxidase 1-like","peroxidase 52","peroxidase 64","ZmPRX70","ZmPRX97"}
GRMZM2G369485	 	Gene	Zea mays ssp. mays	{"monothiol glutaredoxin-S11","monothiol glutaredoxin-S17"}
GRMZM2G370081	 	Gene	Zea mays ssp. mays	{"grain width7","GRMZM2G370081","protein LONGIFOLIA 1","TONNEAU1-recruiting motif protein","TRM4 (TON1 RECRUITING MOTIF 4)","ZmGW7-2","ZmLNG1"}
GRMZM2G370928	 	Gene	Zea mays ssp. mays	{"peroxidase 1","POD1","ULA32 (upright leaf angle32)","ZmPRX105","ZmPRX72"}
GRMZM2G371486	 	Gene	Zea mays ssp. mays	{"heavy metal-associated isoprenylated plant protein 45","Heavy metal-associated isoprenylated plant protein 45 isoform X1"}
GRMZM2G371651	 	Gene	Zea mays ssp. mays	{"GRMZM2G371651"}
GRMZM2G374405	 	Gene	Zea mays ssp. mays	{"GRMZM2G374405"}
GRMZM2G375607	 	Gene	Zea mays ssp. mays	{""}
GRMZM2G378852	 	Gene	Zea mays ssp. mays	{"MAPK9","mitogen-activated protein kinase kinase kinase 18","mitogen-activated protein kinase kinase kinase 2","putative MAPKKK family protein kinase"}
GRMZM2G379053	 	Gene	Zea mays ssp. mays	{"GRMZM2G379053","ZmZEP"}
GRMZM2G379128	 	Gene	Zea mays ssp. mays	{"ribosomal protein L34e superfamily protein"}
