v5 Gene Model ID	v4 Gene Model ID	v3 Gene Model ID	Gene Symbol	Full Name
Zm00001eb405860	Zm00001d023317	AC152495.1_FG002	rp1	resistance to Puccinia sorghi1
Zm00001eb327720	Zm00001d022169	GRMZM2G381395	rpot1	RNA polymerase T phage-like 1
Zm00001eb430770	Zm00001d026286	GRMZM2G019325	rps11	ribosomal protein S11
Zm00001eb113470	Zm00001d007407	GRMZM2G003043	rrb1	related to retinoblastoma1
Zm00001eb299420	Zm00001d018742	GRMZM2G028041	rs1	rough sheath1
Zm00001eb029300	Zm00001d030737	GRMZM2G403620	rs2	rough sheath2
Zm00001eb003920	Zm00001d027679	GRMZM2G092542	rtcs1	rootless concerning crown and seminal roots1
Zm00001eb051220	Zm00001d033303	GRMZM2G099056	rth1	roothair defective1
Zm00001eb014120	Zm00001d028826	GRMZM2G377215	rth3	roothair defective3
Zm00001eb168290	Zm00001d049020	GRMZM2G017557	rtp1	root preferential1
		Not present in B73; see r1 and P	S	seed color component at R1
Zm00001eb387090	Zm00001d046599	GRMZM2G117935	sal1	supernumerary aleurone1
Zm00001eb078440	Zm00001d003157	GRMZM2G154397	sam2	S-adenosyl methionine decarboxylase2
Zm00001eb131280	Zm00001d040752	GRMZM2G038356	sar1	secretion-associated Ras-related  homolog1
Zm00001eb228530		GRMZM2G088753	sbe1	starch branching enzyme1
Zm00001eb355990	Zm00001d011080	GRMZM2G028393	sci1	subtilisin-chymotrypsin inhibitor homolog1
Zm00001eb303090	Zm00001d019148	GRMZM2G074082	sgo1	shugoshin centromeric cohesion1
Zm00001eb374090	Zm00001d045042	GRMZM2G089713	sh1	shrunken1
Zm00001eb159060	Zm00001d044129	GRMZM2G429899	sh2	shrunken2
Zm00001eb272490	Zm00001d036425	GRMZM2G139073	si1	silky1
Zm00001eb357490	Zm00001d011252	GRMZM2G136887	smh1	single myb histone1
Zm00001eb155280	Zm00001d043696	GRMZM2G108424	smh4	single myb histone4
Zm00001eb218710	Zm00001d013694	GRMZM2G095239	smh6	single myb histone6
		"not in B73, see r1"	sn1	scutellar node color1
Zm00001eb330020	Zm00001d022505	GRMZM2G025992	sod2	superoxide dismutase2
Zm00001eb285090	Zm00001d037859	GRMZM2G059991	sod3	superoxide dismutase3
Zm00001eb016940	Zm00001d029170	GRMZM2G169890	sod4	superoxide dismutase4
Zm00001eb394700	Zm00001d047479	GRMZM2G058522	sod9	superoxide dismutase9
Zm00001eb158550	Zm00001d044069	GRMZM2G025222	spi1	sparse inflorescence1
Zm00001eb351280	Zm00001d010523	GRMZM2G055489	spp1	sucrose-phosphatase1
Zm00001eb364620	Zm00001d012036	GRMZM5G875238	sps1	sucrose phosphate synthase1
Zm00001eb376100	Zm00001d045261	GRMZM2G129451	ss1	starch synthase I
Zm00001eb197410	Zm00001d052595	GRMZM2G098520	ssu1	ribulose bisphosphate carboxylase small subunit1
Zm00001eb092540		GRMZM2G113033	ssu2	ribulose bisphosphate carboxylase small subunit2
Zm00001eb374210	Zm00001d045054	GRMZM2G177098	stc1	sesquiterpene cyclase1
Zm00001eb374240	Zm00001d045056	GRMZM2G165433	stk1	serine threonine kinase1
Zm00001eb344570	Zm00001d009669	GRMZM2G097768	stp1	sugar transport1
Zm00001eb174590	Zm00001d049753	GRMZM2G138060	su1	sugary1
Zm00001eb279740	Zm00001d037234	GRMZM2G348551	su2	sugary2
Zm00001eb233650	Zm00001d015450	GRMZM2G109818	sun1	SUN domain protein1
Zm00001eb128110	Zm00001d040331	GRMZM2G440614	sun2	SUN domain protein2
Zm00001eb366390	Zm00001d012240	GRMZM2G005483	sun4	SUN domain protein4
Zm00001eb357660	Zm00001d011277	AC194341.4_FG003	sun5	SUN domain protein5
Zm00001eb392880	Zm00001d047253	GRMZM2G152908	sus1	sucrose synthase1
Zm00001eb237270	Zm00001d015985	GRMZM2G009785	sxd1	sucrose export defective1
Zm00001eb148060	Zm00001d042879	GRMZM2G002276	taf1	transcription associated factor1
Zm00001eb286860	Zm00001d038060	GRMZM2G039113	tan1	tangled1
Zm00001eb054440	Zm00001d033673	AC233950.1_FG002	tb1	teosinte branched1
Zm00001eb218190	Zm00001d013631	GRMZM2G161418	tbp2	TATA-binding protein2
Zm00001eb297040	Zm00001d039135	GRMZM2G321778	tdy1	tie-dyed1
Zm00001eb144140	Zm00001d042445	GRMZM2G085113	te1	terminal ear1
Zm00001eb175150	Zm00001d049822	GRMZM2G101511	tga1	teosinte glume architecture1
Zm00001eb130760	Zm00001d040686	chr3:58008644	tha1	thylakoid assembly1
Zm00001eb323110	Zm00001d021668	GRMZM5G835323	tif1	translation initiation factor1
Zm00001eb326630	Zm00001d022042	GRMZM2G144030	tif5A	eukaryotic translation initiation factor 5A
Zm00001eb057260	Zm00001d034018	GRMZM2G016671	tlk1	tousled-like protein kinase1
Zm00001eb214860	Zm00001d013267	GRMZM2G172132	tlk2	tousled-like protein kinase2
Zm00001eb280980	Zm00001d037386	GRMZM2G036564	tm20	transmembrane protein20
Zm00001eb292340	Zm00001d038653	GRMZM2G424053	trh1	thioredoxin h homolog1
Zm00001eb081610	Zm00001d003533	GRMZM2G104843	ts1	tassel seed1
Zm00001eb013890	Zm00001d028806	GRMZM2G455809	ts2	tassel seed2
		GRMZM5G803935	ts4	tasselseed4
Zm00001eb062460	Zm00001d034629	GRMZM5G862109	ts6	tasselseed6
Zm00001eb296770	Zm00001d039113	GRMZM2G325850	tsh1	tassel sheath1
Zm00001eb215710	Zm00001d013367	GRMZM2G152466	tua4	alpha tubulin4
Zm00001eb107490	Zm00001d006651	GRMZM2G099167	tua5	alpha tubulin5
Zm00001eb325230	Zm00001d021891	GRMZM2G083243	tua6	alpha tubulin6
Zm00001eb349430	Zm00001d010275	GRMZM2G334899	tub2	beta tubulin2
Zm00001eb052540	Zm00001d033457	GRMZM2G108766	tub3	beta tubulin3
Zm00001eb218000	Zm00001d013612	GRMZM2G066191	tub4	beta tubulin4
	Zm00001d053838	GRMZM2G419891	ubi2	ubiquitin2
Zm00001eb395120	Zm00001d047522	GRMZM2G067546	vacs1	vacuolar sorting receptor homolog1
Zm00001eb143690	Zm00001d042396	GRMZM2G133398	vp1	viviparous1
Zm00001eb432770	Zm00001d026515	GRMZM2G067176	vp10	viviparous10
Zm00001eb050380	Zm00001d033222	GRMZM2G014392	vp14	viviparous14
Zm00001eb244080	Zm00001d016850	GRMZM2G121468	vp15	viviparous15
Zm00001eb006300		GRMZM2G410515	vp5	viviparous5
Zm00001eb060200	Zm00001d034383	GRMZM2G010353	vp8	viviparous8
Zm00001eb402840	Zm00001d048373	GRMZM2G057243	wc1	white cap1
Zm00001eb113440	Zm00001d007403	GRMZM2G151227	whp1	white pollen1
Zm00001eb270470	Zm00001d036148	GRMZM2G155662	why1	WHIRLY-transcription factor 1
Zm00001eb335210	Zm00001d008548	GRMZM2G156632	wip1	wound induced protein1
Zm00001eb344150	Zm00001d009618	GRMZM2G403797	wtf1	what's this factor1
Zm00001eb378140	Zm00001d045462	GRMZM2G024993	wx1	waxy1
Zm00001eb043940	Zm00001d032502	GRMZM2G167824	yab10	yabby homolog10
Zm00001eb427470	Zm00001d025944	GRMZM2G005353	yab14	yabby14
Zm00001eb248640	Zm00001d017391	GRMZM2G529859	yab15	yabby15
Zm00001eb220660	Zm00001d013895	GRMZM2G074543	yab9	yabby9
Zm00001eb082060		GRMZM2G086971	ypt1	ypt homolog1
Zm00001eb249020	Zm00001d017429	GRMZM2G156599	ys1	yellow stripe1
Zm00001eb181970	Zm00001d050730	GRMZM2G140016	yy1	yin-yang1
Zm00001eb284010	Zm00001d037737	GRMZM2G052890	zag1	Zea AGAMOUS homolog1
Zm00001eb138380	Zm00001d041781	GRMZM2G160687	zag2	Zea AGAMOUS homolog2
Zm00001eb187330	Zm00001d051465	GRMZM2G003514	zag5	zea agamous5
Zm00001eb430240	Zm00001d026231	GRMZM2G098813	zfl1	zea floricaula/leafy1
Zm00001eb071990	Zm00001d002449	GRMZM2G180190	zfl2	Zea floricaula leafy2
Zm00001eb338060	Zm00001d008882	GRMZM2G359952	zmm2	Zea mays MADS2
Zm00001eb214740	Zm00001d013258	GRMZM2G071620	zmm31	Zea mays MADS31
Zm00001eb036590	Zm00001d031620	GRMZM2G159397	zmm6	Zea mays MADS6
Zm00001eb400120		GRMZM2G102161	zmm8	Zea mays MADS8
Zm00001eb388350		GRMZM5G836222	znf1	zinc finger protein1
Zm00001eb171940	Zm00001d049473	GRMZM2G008913	zp1	zein alpha protein1
Zm00001eb267570	Zm00001d035760	GRMZM2G086294	zp15	zein protein, 15kDa15
Zm00001eb313800	Zm00001d020592	GRMZM2G138727	zp27	27-kDa zein protein
